States,Min avg temp (deg Cel),Max avg temp (deg Cel),Avg rainfall (cm),Elevation (m)
West Bengal,21,32,211,500
Uttar Pradesh,19,32,134,300
Andhra Pradesh,23,33,103,269
Punjab,17,30,65,300
Odisha,22,35,149,500
Chattisgarh,29,34,116,275
Tamil Nadu,22,34,100,189
Bihar,20,31,125,53
Assam,19,30,281,80
Haryana,21,33,62,200
